Country,Total medals,Population,GDP,GDP (in $B),Population (in M),Total medals per 1M capita,Total medals per $1B GDP,Per capita GDP (in $),Total medals per capita GDP
Morocco,2,"36,910,560","$118,725,279,596 ",118.725279596,36.91056,0.05418503539366512,0.0168456120449295,3216.5667385160236,0.621780974121093
Dominica,1,"71,808","$596,033,333 ",0.596033333,0.071808,13.92602495543672,1.6777585155627528,8300.375069630127,0.12047648348553014
Pakistan,1,"216,565,318","$304,400,000,000 ",304.4,216.565318,0.004617544532222837,0.00328515111695138,1405.5805556086316,0.7114497963206308
Turkey,8,"83,429,615","$754,411,708,203 ",754.411708203,83.429615,0.0958892115227908,0.010604289293250642,9042.492982893426,0.884711773084523
Mexico,5,"126,014,024","$1,258,286,717,125 ",1258.286717125,126.014024,0.03967812344441917,0.003973657141850996,9985.29113811174,0.5007365264409828
Armenia,4,"2,957,731","$13,672,802,158 ",13.672802158,2.957731,1.3523880298783089,0.29255158918975416,4622.733493343377,0.8652889044458008
Colombia,4,"50,339,443","$323,802,808,108 ",323.802808108,50.339443,0.07946055342725981,0.012353197377664046,6432.387583390623,0.6218530752606687
Kyrgyzstan,6,"6,456,900","$8,454,619,608 ",8.454619608,6.4569,0.9292384890582168,0.7096711949432509,1309.3929916833156,4.582275938629077
North Korea,6,"25,666,161","$32,100,000,000 ",32.1,25.666161,0.23377083935536758,0.18691588785046728,1250.6739905512165,4.797413271028037
Lithuania,4,"2,786,844","$54,219,315,600 ",54.2193156,2.786844,1.4353153603143916,0.07377444653690907,19455.45412660343,0.2055978736847058
India,6,"1,366,417,754","$2,611,000,000,000 ",2611.0,1366.417754,0.00439104364857367,0.002297970126388357,1910.8358277376421,3.139987178858675
Moldova,4,"2,657,637","$11,955,435,457 ",11.955435457,2.657637,1.5050964446988058,0.3345758516606745,4498.520850289186,0.88918116267992
Kosovo,2,"1,873,000","$9,410,000,000",9.41,1.873,1.0678056593699947,0.21253985122210414,5024.025627335825,0.398087141339001
Cyprus,1,"1,198,575","$24,564,647,935 ",24.564647935,1.198575,0.8343240931940012,0.04070890829154478,20494.87761299877,0.04879267975553828
Fiji,1,"889,953","$5,535,548,972 ",5.535548972,0.889953,1.1236548446940458,0.18065055608002306,6220.046420428944,0.16077050433508475
Jordan,1,"10,101,694","$43,743,661,972 ",43.743661972,10.101694,0.09899329755979541,0.022860454633178467,4330.3293459493025,0.23092931740525113
Mongolia,1,"3,225,167","$13,852,850,259 ",13.852850259,3.225167,0.31006146348390645,0.07218731028658266,4295.235024728952,0.23281613095504694
Panama,1,"4,246,439","$66,800,800,000 ",66.8008,4.246439,0.23549143176200107,0.014969880600232334,15731.01603484708,0.06356868480616998
Tajikistan,3,"9,321,018","$8,116,626,794 ",8.116626794,9.321018,0.32185325680092025,0.3696116719593009,870.787589295504,3.445157047342739
Albania,2,"2,854,191","$15,278,077,447 ",15.278077447,2.854191,0.7007239529519923,0.13090652321524393,5352.857411084261,0.3736322204022403
Grenada,2,"112,003","$1,228,170,370 ",1.22817037,0.112003,17.856664553628026,1.628438569153887,10965.51315589761,0.18239000506094283
Malaysia,2,"32,447,385","$364,701,517,788 ",364.701517788,32.447385,0.06163824912238691,0.005483936595960631,11239.781504364682,0.17793940204472403
Puerto Rico,2,"3,222,000","$113,400,000,000 ",113.4,3.222,0.6207324643078833,0.01763668430335097,35195.530726256984,0.05682539682539682
Ivory Coast,1,"25,716,544","$58,792,205,642 ",58.792205642,25.716544,0.03888547388016057,0.017009057392560548,2286.16277684902,0.43741417283430856
Cape Verde,1,"483,628","$1,981,845,741 ",1.981845741,0.483628,2.0677049302356356,0.5045801392672569,4097.872209632196,0.24402908359354494
Peru,1,"32,510,453","$226,848,050,820 ",226.84805082,32.510453,0.030759337619811082,0.004408237127827396,6977.695783568442,0.14331378595708755
Qatar,1,"2,832,067","$183,466,208,791 ",183.466208791,2.832067,0.3530989909490136,0.005450594998336583,64781.73319734314,0.015436450225154094
Singapore,1,"5,703,569","$372,062,527,489 ",372.062527489,5.703569,0.1753288160448309,0.002687720278494224,65233.28243929372,0.015329598061091023
Slovakia,1,"5,454,073","$105,422,304,976 ",105.422304976,5.454073,0.18334921443112331,0.009485658658551013,19329.0968008679,0.05173547477681931
Zambia,1,"17,861,030","$23,064,722,446 ",23.064722446,17.86103,0.05598781257295912,0.04335625552578132,1291.3433573539712,0.774387380633646
